序号,书籍名称,评分,评价人数,作者,出版社,出版日期,价格
1,计算机程序的构造和解释 : 原书第2版,9.5,1659,Harold Abelson、Gerald Jay Sussman、Julie Sussman,机械工业出版社,2004-2,45.00元,
2,代码大全（第2版）,9.3,3200,[美] 史蒂夫·迈克康奈尔,电子工业出版社,2006-3,128.00元,
3,编码 : 隐匿在计算机软硬件背后的语言,9.2,1479,[美] Charles Petzold,电子工业出版社,2010,55.00元,
4,C程序设计语言 : 第 2 版·新版,9.4,3629,（美）Brian W. Kernighan、（美）Dennis M. Ritchie,机械工业出版社,2004-1,30.00元,
5,深入理解计算机系统,9.5,2437,Randal E.Bryant、David O'Hallaron,中国电力出版社,2004-5-1,85.00元,
6,算法导论（原书第2版）,9.4,4547,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein,机械工业出版社,2006-9,85.00元,
7,编程珠玑 : 第2版,9.2,1734,Jon Bentley,人民邮电出版社,2008-10,39.00元,
8,Java编程思想 （第4版）,9.1,2590,[美] Bruce Eckel,机械工业出版社,2007-6,108.00元,
9,黑客与画家 : 硅谷创业之父Paul Graham文集,8.8,12936,[美] Paul Graham,人民邮电出版社,2011-4,49.00元,
10,JavaScript高级程序设计（第3版）,9.3,1211,[美] Nicholas C. Zakas,人民邮电出版社,2012-3-29,99.00元,
11,集体智慧编程,9.0,1164,TOBY SEGARAN,电子工业出版社,2009-1,59.80元,
12,UNIX环境高级编程 : 第2版,9.4,2037,W.Richard Stevens、Stephen A.Rago,人民邮电出版社,2006年,99.00元,
13,C++ Primer 中文版（第 4 版）,9.2,4051,Stanley B.Lippman、Josée LaJoie、Barbara E.Moo,人民邮电出版社,2006,99.00元,
14,C Primer Plus : （第五版）,9.2,1426,Stephen Prata、云巅工作室,人民邮电出版社,2005-2-1,60.00元,
15,程序员的自我修养 : 链接、装载与库,8.8,1739,俞甲子、石凡、潘爱民,电子工业出版社,2009-4,65.00,
16,程序员修炼之道 : 从小工到专家,8.6,2007,Andrew Hunt、David Thomas,电子工业出版社,2005-1,48.00元,
17,重构 : 改善既有代码的设计,9.0,1924,Martin Fowler,中国电力出版社,2003-8-1,68.00元,
18,Effective java 中文版（第2版）,9.1,1084,Joshua Bloch,机械工业出版社,2009-1-1,52.00元,
19,编程之美 : 微软技术面试心得,8.4,2843,《编程之美》小组 编,电子工业出版社,2008-3,40.00元,
20,UNIX编程艺术,9.0,1951,Eric S. Raymond,电子工业出版社,2006-2,59.00元,
21,设计模式 : 可复用面向对象软件的基础,9.1,2472,[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides,机械工业出版社,2000-9,35.00元,
22,C专家编程,9.2,1709,Peter Van Der Linden,人民邮电出版社,2008-2,45.00元,
23,JavaScript语言精粹,9.1,1397,Douglas Crockford,电子工业出版社,2009年,35.00,
24,C和指针,9.0,1067,Kenneth A.Reek,人民邮电出版社,2008 年4月,65.00元,
25,程序员的思维修炼 : 开发认知潜能的九堂课,8.3,1532,Andy Hunt,人民邮电出版社,2010-12-10,39.00元,
26,Head First 设计模式（中文版）,9.2,2212,弗里曼,中国电力出版社,2007-9,98.00元,
27,数据结构与算法分析 : C语言描述,8.9,1322,Mark Allen Weiss (维斯),机械工业出版社,2004-1-1,35.00元,
28,Python基础教程,7.9,1413,Magnus Lie Hetland,人民邮电出版社,2010年7月,69.00元,
29,STL源码剖析,8.7,1100,侯捷,华中科技大学出版社,2002-6,68.00元,
30,软件随想录 : 程序员部落酋长Joel谈软件,8.7,2110,Joel Spolsky,人民邮电出版社,2009,49.00元,
31,Effective C++中文版,9.2,1270,[美] Scott Meyers,华中科技大学出版社,2001-9,49.80元,
32,Python核心编程（第二版）,7.7,1316,[美]Wesley J. Chun（陳仲才）,人民邮电出版社,2008-06,89.00元,
33,深度探索C++对象模型,9.1,1334,[美] Stanley B. Lippman,华中科技大学出版社,2001-5,54.00元,
34,DOOM启世录,9.0,1238,[美] 大卫·卡什诺,电子工业出版社,2004-4,29.00元,
35,大话设计模式,8.3,1542,程杰,清华大学出版社,2007-12-1,45.00元,
36,C陷阱与缺陷 : C语言调试指南,8.9,1127,凯尼格,人民邮电出版社,2008-2-1,30.00元,
37,JavaScript DOM编程艺术,8.7,1066,Jeremy Keith,人民邮电出版社,2006年12月,39.00元,
38,Dive Into Python,8.3,1090,Mark Pilgrim,Apress,19 July, 2004,$39.99,
39,C程序设计 : 新世纪计算机基础教育丛书,7.0,1376,谭浩强,清华大学出版社,2005-7-1,26.00元,
40,HTTP权威指南 : 权威指南,8.7,1003,David Gourley、Brian Totty,人民邮电出版社,2012-9,109.00元,
